place-name,type,notes
garibaldi,metro station,
george v,metro station,
glacière,metro station,
goncourt,metro station,
grands boulevards,metro station,
guy môquet,metro station,
havre-caumartin,metro station,
hoche,metro station,
hôtel de ville,metro station,
iéna,metro station,
invalides,metro station,
jacques bonsergent,metro station,
jasmin,metro station,
jaurès,metro station,
javel-andré-citroën,metro station,
jourdain,metro station,
jules joffrin,metro station,
jussieu,metro station,
kléber,metro station,
la chapelle,metro station,
la courneuve-8 mai 1845,metro station,
la défense-grande arche,metro station,
la fourche,metro station,
la motte-picquet-grenelle,metro station,
la muette,metro station,
la tour-maubourg,metro station,
lamarck-caulaincourt,metro station,
laumière,metro station,
le kremlin-bicêtre,metro station,
le peletier,metro station,
ledru-rollin,metro station,
les agnettes,metro station,
les gobelins,metro station,
les halles,metro station,
les sablons,metro station,
liberté,metro station,
liège,metro station,
louis blanc,metro station,
louise michel,metro station,
lourmel,metro station,
louvre-rivoli,metro station,
mabillon,metro station,
madeleine,metro station,
mairie d'issy,metro station,
mairie d'ivry,metro station,
mairie de clichy,metro station,
mairie de montreuil,metro station,
mairie de montrouge,metro station,
mairie de saint-ouen,metro station,
mairie des lilas,metro station,
maison blanche,metro station,
maisons-alfort-les juilliottes,metro station,
maisons-alfort-stade,metro station,
malakoff-plateau de vanves,metro station,
malakoff-rue Étienne Dolet,metro station,
malesherbes,metro station,
maraîchers,metro station,
marcadet-poissonniers,metro station,
marcel sembat,metro station,
marx dormoy,metro station,
maubert-mutualité,metro station,
ménilmontant,metro station,
michel bizot,metro station,
michel-ange-auteuil,metro station,
michel-ange-molitor,metro station,
mirabeau,metro station,
miromesnil,metro station,
monceau,metro station,
montgallet,metro station,
montparnasse-bienvenüe,metro station,
mouton-duvernet,metro station,
nation,metro station,
nationale,metro station,
notre-dame-des-champs,metro station,
oberkampf,metro station,
Odéon,metro station,
olympiades,metro station,
opéra,metro station,
ourcq,metro station,
palais royal-musée du louvre,metro station,
parmentier,metro station,
passy,metro station,
pasteur,metro station,
pelleport,metro station,
père lachaise,metro station,
pereire,metro station,
pernety,metro station,
philippe auguste,metro station,
picpus,metro station,
pierre et marie curie,metro station,
pigalle,metro station,
place d'italie,metro station,
place de clichy,metro station,
place des fêtes,metro station,
place monge,metro station,
plaisance,metro station,
pointe du lac,metro station,
poissonnière,metro station,
pont des levallois-bécon,metro station,
pont de neuilly,metro station,
pont de sèvres,metro station,
pont marie,metro station,
pont neuf,metro station,
porte d'auteuil,metro station,
porte d'italie,metro station,
porte d'ivry,metro station,
porte d'orléans,metro station,
porte dauphine,metro station,
porte de bagnolet,metro station,
porte de champerret,metro station,
porte de charenton,metro station,
porte de choisy,metro station,
porte de clichy,metro station,
porte de clignancourt,metro station,
porte de la chapelle,metro station,
porte de la villette,metro station,
porte de pantin,metro station,
porte de saint-cloud,metro station,
porte de saint-ouen,metro station,
porte de vanves,metro station,
porte de versailles,metro station,
porte de vincennes,metro station,
porte des lilas,metro station,
porte dorée,metro station,
porte maillot,metro station,
pré saint-gervais,metro station,
pyramides,metro station,
pyrénées,metro station,
quai de la gare,metro station,
quai de la rapée,metro station,
quatre-septembre,metro station,
rambuteau,metro station,
ranelagh,metro station,
raspail,metro station,
réaumur-sébastopol,metro station,
rennes,metro station,
république,metro station,
reuilly-diderot,metro station,
richard-lenoir,metro station,
richelieu-drouot,metro station,
riquet,metro station,
robespierre,metro station,
rome,metro station,
rue de la pompe,metro station,
rue des boulets,metro station,
rue du bac,metro station,
rue saint-maur,metro station,
saint-ambroise,metro station,
saint-augustin,metro station,
saint-denis-porte de paris,metro station,
saint-denis-université,metro station,
saint-fargeau,metro station,
saint-françois-xavier,metro station,
saint-germain-des prés,metro station,
saint-georges,metro station,
saint-jacques,metro station,
saint-lazare,metro station,
saint-mandé,metro station,
saint-marcel,metro station,
saint-michel,metro station,
saint-paul,metro station,
